,min,max
IBOVESPA - Close,380.1000061035156,137344.0
IBOVESPA - High,380.1000061035156,137469.0
IBOVESPA - Low,373.3999938964844,136664.0
IBOVESPA - Open,375.5,137349.0
Dólar - Close,0.0,6.300000190734863
Dólar - High,0.0,6.411099910736084
Dólar - Low,0.0,6.181506156921387
Dólar - Open,0.0,6.297999858856201
Dow Jones - Close,3593.35009765625,45014.0390625
Dow Jones - High,3634.52001953125,45073.62890625
Dow Jones - Low,3552.469970703125,44799.73828125
Dow Jones - Open,3593.929931640625,45054.359375
S&P 500 - Close,438.9200134277344,6144.14990234375
S&P 500 - High,444.7200012207031,6147.43017578125
S&P 500 - Low,435.8599853515625,6111.14990234375
S&P 500 - Open,439.1400146484375,6134.5
Nasdaq - Close,693.7899780273438,20173.890625
Nasdaq - High,699.780029296875,20204.580078125
Nasdaq - Low,690.9500122070312,20004.73046875
Nasdaq - Open,694.1599731445312,20114.98046875
Shanghai SE - Close,0.0,6092.05712890625
Shanghai SE - High,0.0,6124.0439453125
Shanghai SE - Low,0.0,6040.712890625
Shanghai SE - Open,0.0,6057.42822265625
Nikkei - Close,0.0,42224.01953125
Nikkei - High,0.0,42426.76953125
Nikkei - Low,0.0,42102.4609375
Nikkei - Open,0.0,42343.71875
HanSeng Index - Close,6660.419921875,33154.12109375
HanSeng Index - High,6855.31005859375,33484.078125
HanSeng Index - Low,6544.7900390625,32897.0390625
HanSeng Index - Open,6649.4501953125,33335.48046875
Kospi - Close,0.0,3305.2099609375
Kospi - High,0.0,3316.080078125
Kospi - Low,0.0,3295.43994140625
Kospi - Open,0.0,3305.4599609375
ASX 200 - Close,0.0,8555.7998046875
ASX 200 - High,0.0,8615.2001953125
ASX 200 - Low,0.0,8540.0
ASX 200 - Open,0.0,8540.0
FTSE 100 - Close,0.0,8871.2998046875
FTSE 100 - High,0.0,8908.7998046875
FTSE 100 - Low,0.0,8809.7001953125
FTSE 100 - Open,0.0,8871.2998046875
DAX - Close,1911.699951171875,23419.48046875
DAX - High,1921.300048828125,23476.009765625
DAX - Low,1891.7099609375,23240.560546875
DAX - Open,1903.760009765625,23295.720703125
CAC 40 - Close,1721.0999755859375,8239.990234375
CAC 40 - High,1732.199951171875,8259.1904296875
CAC 40 - Low,1711.800048828125,8211.2001953125
CAC 40 - Open,1718.699951171875,8241.6796875
FTSE MIB - Close,0.0,49464.0
FTSE MIB - High,0.0,49464.0
FTSE MIB - Low,0.0,49464.0
FTSE MIB - Open,0.0,49464.0
STOXX 600 - Close,0.0,563.1300048828125
STOXX 600 - High,0.0,565.1799926757812
STOXX 600 - Low,0.0,556.25
STOXX 600 - Open,0.0,561.030029296875
Petróleo WTI - Close,-37.630001068115234,145.2899932861328
Petróleo WTI - High,0.0,147.27000427246094
Petróleo WTI - Low,-40.31999969482422,143.22000122070312
Petróleo WTI - Open,-14.0,145.19000244140625
Petróleo Brent - Close,0.0,146.0800018310547
Petróleo Brent - High,0.0,147.42999267578125
Petróleo Brent - Low,0.0,144.27000427246094
Petróleo Brent - Open,0.0,146.0800018310547
Minério de Ferro - Close,0.0,219.7700042724609
Minério de Ferro - High,0.0,219.7700042724609
Minério de Ferro - Low,0.0,219.7700042724609
Minério de Ferro - Open,0.0,219.7700042724609
Bitcoin - Close,0.0,106146.265625
Bitcoin - High,0.0,109114.8828125
Bitcoin - Low,0.0,105291.734375
Bitcoin - Open,0.0,106147.296875
PIB,0.0,2865301.0
IPCA,-0.68,6.84
INPC,-0.6,7.75
Meta Selic,0.0,45.0
Taxa acumulada no período,0.0,3.98
ASX 200 - Spread,0.0,665.599609375
Bitcoin - Spread,0.0,12864.62109375
CAC 40 - Spread,7.800048828125,398.85009765625
DAX - Spread,4.68994140625,921.060546875
Dow Jones - Spread,12.300048828125,1904.390625
Dólar - Spread,0.0,0.3147001266479492
FTSE 100 - Spread,0.0,639.0
FTSE MIB - Spread,0.0,2766.0
HanSeng Index - Spread,0.0,2139.5390625
IBOVESPA - Spread,1.60009765625,16615.0
Kospi - Spread,0.0,224.340087890625
Minério de Ferro - Spread,0.0,7.620002746582017
Nasdaq - Spread,1.90997314453125,898.23046875
Nikkei - Spread,0.0,4145.060546875
Petróleo Brent - Spread,-0.3799972534179687,23.6300048828125
Petróleo WTI - Spread,0.0,58.170000076293945
S&P 500 - Spread,1.2899780273438068,218.9599609375
STOXX 600 - Spread,0.0,33.660003662109375
Shanghai SE - Spread,0.0,432.08935546875
IBOVESPA - Close %,-0.15809018909931183,0.3341902196407318
Dólar - Close %,-0.2700880467891693,0.10152376443147659
Dow Jones - Close %,-0.1292654573917389,0.11365041136741638
S&P 500 - Close %,-0.11984055489301682,0.11580036580562592
Nasdaq - Close %,-0.12321331351995468,0.14173196256160736
Shanghai SE - Close %,-0.08840629458427429,0.09857048094272614
Nikkei - Close %,-0.1239575743675232,0.14150312542915344
HanSeng Index - Close %,-0.13700442016124725,0.18823599815368652
Kospi - Close %,-0.1364188939332962,0.11945674568414688
ASX 200 - Close %,-0.09699778258800507,0.0700066089630127
FTSE 100 - Close %,-0.10873819142580032,0.09838666766881943
DAX - Close %,-0.1223861500620842,0.11401953548192978
CAC 40 - Close %,-0.12276774644851685,0.11176172643899918
FTSE MIB - Close %,-0.1692788153886795,0.1148751750588417
STOXX 600 - Close %,-0.11477629840373993,0.09866908937692642
Petróleo WTI - Close %,-3.0596606731414795,0.37662333250045776
Petróleo Brent - Close %,-0.2440359741449356,0.2101859599351883
Minério de Ferro - Close %,-0.19823749363422394,0.16810579597949982
Bitcoin - Close %,-0.3716953992843628,0.2524716854095459
